,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars
367,367,swordfish raw,196,9,2.2,4,1.6,0,0
368,368,rainbow trout cooked,119,5.2,1.2,1.7,1.3,0,0
369,369,fish sandwich with cheese,374,19.6,3.8,5.4,8,35.4,4.9
370,370,jellyfish dried,21,0.8,0.2,0.1,0.3,0,0
371,371,mullet raw,139,4.5,1.3,1.3,0.9,0,0
372,372,halibut cooked,353,5.1,1.1,1.8,1.1,0,0
373,373,lingcod raw,213,2.7,0.5,0.9,0.8,0,0
374,374,orange roughy cooked,30,0.3,0.046,0.1,0.076,0,0
375,375,cisco raw,77,1.5,0.3,0.4,0.5,0,0
376,376,florida pompano cooked,186,10.7,4,2.9,1.3,0,0
377,377,snapper raw,218,2.9,0.6,0.5,1,0,0
378,378,fish sandwich,565,27.4,4.3,5.7,13.8,58.7,7.8
379,379,haddock raw,143,0.9,0.2,0.1,0.3,0,0
380,380,ocean perch raw,51,1,0.2,0.3,0.2,0,0
381,381,cuttlefish cooked,45,0.4,0.080,0.061,0.061,0.5,0
382,382,cod cooked,189,1.5,0.3,0.2,0.5,0,0
383,383,seatrout raw,248,8.6,2.4,2.1,1.7,0,0
384,384,flounder raw,114,3.1,0.7,0.9,0.6,0,0
385,385,spot cooked,79,3.1,0.9,0.9,0.7,0,0
386,386,walleye pike cooked,148,1.9,0.4,0.5,0.7,0,0
387,387,perch raw,55,0.6,0.1,0.081,0.2,0,0
388,388,pumpkin seed sunfish raw,43,0.3,0.051,0.016,0.1,0,0
389,389,salt mackerel,415,34.1,9.7,11.3,8.4,0,0
390,390,mackerel cooked,231,15.7,3.7,6.2,3.8,0,0
391,391,tilapia cooked,111,2.3,0.8,0.8,0.5,0,0
392,392,drum raw,236,9.8,2.2,4.3,2.3,0,0
393,393,atlantic croaker fried,192,11,3,4.6,2.5,6.6,0
394,394,pumpkin seed sunfish cooked,42,0.3,0.025,0.083,0.1,0,0
395,395,wolffish raw,294,7.3,1.1,2.6,2.6,0,0
396,396,bluefin tuna cooked,276,9.4,2.4,3.1,2.8,0,0
397,397,scup cooked,68,1.8,0,0,0,0,0
398,398,herring cooked,290,16.6,3.7,6.8,3.9,0,0
399,399,bluefish raw,186,6.4,1.4,2.7,1.6,0,0
400,400,sheepshead cooked,234,3,0.7,0.7,0.7,0,0
401,401,bass cooked,91,2.9,0.6,1.1,0.8,0,0
402,402,pout cooked,279,3.2,1.1,1.2,0.1,0,0
403,403,chinook salmon raw,709,41.3,12.3,17.4,11.1,0,0
404,404,rockfish raw,172,2.6,0.7,0.7,0.8,0,0
405,405,tilefish raw,371,8.9,1.7,2.2,2.3,0,0
406,406,scup raw,174,4.5,1.1,0.9,1.7,0,0
407,407,sablefish cooked,755,59.3,12.4,31.2,7.9,0,0
408,408,tuna salad,383,19,3.2,5.9,8.5,19.3,0
409,409,coho salmon cooked,255,11.8,2.8,5.2,2.8,0,0
410,410,roe raw,20,0.9,0.2,0.2,0.4,0.2,0
411,411,sea bass raw,125,2.6,0.7,0.5,1,0,0
412,412,pink salmon cooked,349,12,2.2,3.7,2.2,0,0
413,413,sockeye salmon cooked,493,17.3,3,5.8,4.1,0,0
414,414,whitefish raw,265,11.6,1.8,4,4.3,0,0
415,415,greenland halibut cooked,760,56.4,9.9,34.2,5.6,0,0
416,416,northern pike cooked,350,2.7,0.5,0.6,0.8,0,0
417,417,salmon raw,824,53.1,12.1,14.9,15.4,0,0
418,418,turbot cooked,388,12,0,0,0,0,0
